Feature,Rank
Spectrum,1
Amplitude_1,1
Sigma_1,1
FWHM_1,1
Mean_2,1
RMSE,1
Peak13_amp_ratio,1
Peak12_amp_ratio,1
Asymmetry_1,1
Area_1,1
Dominance_ratio,2
Area_ratio_max_min,3
Peak13_norm_separation,4
Peak12_area_ratio,5
Amplitude_3,6
FWHM_3,7
Max_asymmetry,8
Sigma_3,9
Asymmetry_2,10
Peak23_lambda_ratio,11
Area_2,12
Avg_FWHM,13
Peak12_lambda_ratio,14
Peak23_amp_ratio,15
Mean_1,16
Amplitude_2,17
Separation_std,18
Skewness_2,19
Mean_separation,20
Skewness_3,21
Peak23_norm_separation,22
Peak23_area_ratio,23
Baseline,24
Center_of_mass,25
Skewness_1,26
FWHM_2,27
Mean_3,28
Peak13_separation,29
Peak13_lambda_ratio,30
Peak23_separation,31
Peak13_area_ratio,32
Spectral_span,33
R_squared,34
Peak12_separation,35
Peak_width_ratio_max_min,36
Peak_uniformity,37
Area_3,38
Avg_skewness,39
Second_dominant_ratio,40
Sigma_2,41
FWHM_std,42
Total_area,43
Peak12_norm_separation,44
Avg_asymmetry,45
Asymmetry_3,46
Max_skewness,47
Dominant_peak_idx,48
