Feature,Rank
Spectrum,1
Mean_1,1
Mean_2,1
Mean_3,1
RMSE,1
Peak12_amp_ratio,1
Peak13_amp_ratio,1
Center_of_mass,1
Spectral_span,1
Dominance_ratio,1
Amplitude_1,2
Peak_uniformity,3
R_squared,4
Peak13_separation,5
FWHM_1,6
Peak12_lambda_ratio,7
Sigma_1,8
Avg_FWHM,9
Peak23_norm_separation,10
Peak13_lambda_ratio,11
Mean_separation,12
Total_area,13
Baseline,14
Peak_width_ratio_max_min,15
Amplitude_2,16
Peak23_separation,17
FWHM_std,18
Area_1,19
Peak23_area_ratio,20
Separation_std,21
Max_skewness,22
Peak23_lambda_ratio,23
Peak13_area_ratio,24
Area_2,25
Peak12_area_ratio,26
Peak12_separation,27
Peak23_amp_ratio,28
Second_dominant_ratio,29
Skewness_3,30
FWHM_3,31
Sigma_2,32
Amplitude_3,33
FWHM_2,34
Area_ratio_max_min,35
Skewness_1,36
Skewness_2,37
Sigma_3,38
Asymmetry_1,39
Asymmetry_3,40
Area_3,41
Peak12_norm_separation,42
Avg_skewness,43
Avg_asymmetry,44
Asymmetry_2,45
Max_asymmetry,46
Peak13_norm_separation,47
Dominant_peak_idx,48
