Feature,Rank
Spectrum,1
Amplitude_1,1
Mean_1,1
RMSE,1
Baseline,1
Peak23_amp_ratio,1
Area_2,1
Area_1,1
Peak23_separation,1
Total_area,1
Peak_uniformity,2
Spectral_span,3
Avg_FWHM,4
Center_of_mass,5
Separation_std,6
Asymmetry_1,7
Skewness_3,8
Second_dominant_ratio,9
FWHM_2,10
Asymmetry_3,11
Amplitude_3,12
Peak12_area_ratio,13
Max_skewness,14
Amplitude_2,15
Asymmetry_2,16
Skewness_2,17
FWHM_1,18
FWHM_std,19
Area_ratio_max_min,20
Peak13_amp_ratio,21
Peak13_lambda_ratio,22
Peak12_separation,23
Skewness_1,24
Avg_skewness,25
Peak23_norm_separation,26
Peak12_amp_ratio,27
R_squared,28
Max_asymmetry,29
Peak13_area_ratio,30
Peak_width_ratio_max_min,31
Sigma_3,32
Sigma_2,33
Dominance_ratio,34
Peak23_lambda_ratio,35
Mean_separation,36
Mean_2,37
Peak13_separation,38
Avg_asymmetry,39
Peak23_area_ratio,40
Mean_3,41
Area_3,42
Sigma_1,43
Peak12_norm_separation,44
FWHM_3,45
Peak12_lambda_ratio,46
Peak13_norm_separation,47
Dominant_peak_idx,48
