Feature,Rank
Spectrum,1
Dominance_ratio,1
Second_dominant_ratio,1
Peak_uniformity,1
Peak_width_ratio_max_min,1
Avg_FWHM,1
FWHM_std,1
Dominant_peak_idx,1
Spectral_span,1
Center_of_mass,1
Separation_std,2
Mean_separation,3
Peak13_norm_separation,4
Peak23_norm_separation,5
Peak12_norm_separation,6
Peak13_separation,7
Peak23_separation,8
Peak12_separation,9
Area_ratio_max_min,10
Total_area,11
Area_3,12
Area_2,13
Area_1,14
Max_asymmetry,15
Avg_asymmetry,16
Asymmetry_3,17
Asymmetry_2,18
Asymmetry_1,19
Max_skewness,20
Avg_skewness,21
Skewness_3,22
Skewness_2,23
Skewness_1,24
Peak13_area_ratio,25
Peak23_area_ratio,26
Peak12_area_ratio,27
Peak13_amp_ratio,28
Peak23_amp_ratio,29
Peak12_amp_ratio,30
Peak13_lambda_ratio,31
Peak23_lambda_ratio,32
Peak12_lambda_ratio,33
R_squared,34
RMSE,35
Baseline,36
FWHM_3,37
Sigma_3,38
Mean_3,39
Amplitude_3,40
FWHM_2,41
Sigma_2,42
Mean_2,43
Amplitude_2,44
FWHM_1,45
Sigma_1,46
Mean_1,47
Amplitude_1,48
