Feature,Rank
760.865,1
575.781,1
588.262,1
586.703,1
685.86,1
682.012,1
577.342,1
492.632,1
471.33,1
656.559,1
598.389,2
497.359,3
575,4
702.002,5
761.626,6
746.388,7
493.42,8
578.122,9
655.013,10
698.162,11
589.041,12
352.965,13
513.099,14
567.971,15
478.436,16
754.012,17
587.482,18
554.676,19
756.297,20
576.561,21
757.058,22
653.467,23
371.32,24
312.162,25
324.977,26
685.091,27
599.167,28
483.17,29
745.626,30
512.312,31
693.552,32
697.394,33
574.219,34
821.457,35
306.551,36
479.225,37
663.509,38
592.937,39
532.735,40
585.923,41
645.734,42
698.93,43
593.716,44
364.939,45
753.25,46
695.857,47
520.959,48
569.533,49
size,50
742.574,51
489.479,52
392.035,53
444.438,54
750.963,55
807.12,56
413.504,57
563.281,58
597.61,59
559.371,60
483.959,61
678.161,62
594.495,63
838.765,64
692.783,65
779.863,66
655.786,67
879.947,68
472.909,69
312.963,70
649.602,71
370.523,72
353.763,73
589.821,74
359.353,75
484.748,76
687.399,77
558.589,78
369.725,79
654.24,80
393.626,81
616.274,82
760.104,83
578.903,84
388.054,85
650.375,86
747.914,87
482.381,88
552.328,89
503.658,90
504.445,91
806.364,92
695.089,93
596.053,94
496.571,95
667.368,96
686.63,97
556.242,98
749.439,99
683.551,100
739.52,101
550.763,102
790.477,103
535.873,104
383.276,105
702.77,106
320.974,107
317.77,108
817.687,109
494.208,110
322.575,111
352.166,112
403.172,113
384.869,114
684.321,115
472.119,116
752.488,117
807.875,118
480.014,119
351.367,120
553.894,121
675.849,122
718.873,123
743.337,124
448.398,125
354.562,126
509.953,127
582.804,128
678.931,129
824.47,130
382.479,131
305.749,132
357.756,133
847.026,134
323.376,135
682.782,136
585.143,137
303.343,138
617.051,139
487.902,140
651.921,141
657.331,142
688.169,143
596.831,144
727.292,145
349.77,146
549.98,147
675.079,148
755.535,149
614.72,150
768.471,151
791.992,152
595.274,153
330.58,154
510.739,155
651.148,156
394.422,157
590.6,158
388.85,159
566.408,160
302.541,161
553.111,162
542.145,163
737.993,164
567.189,165
694.32,166
464.219,167
368.928,168
592.158,169
442.062,170
490.267,171
340.179,172
565.626,173
804.853,174
606.947,175
895.592,176
769.231,177
674.308,178
776.827,179
823.717,180
995.793,181
613.943,182
498.934,183
498.146,184
811.651,185
572.658,186
751.726,187
617.827,188
407.942,189
309.757,190
880.693,191
433.344,192
945.202,193
310.559,194
664.281,195
344.975,196
477.646,197
521.744,198
372.118,199
700.466,200
599.945,201
646.508,202
356.159,203
744.863,204
701.234,205
677.39,206
699.698,207
747.151,208
825.224,209
774.549,210
390.442,211
661.965,212
580.463,213
522.53,214
314.566,215
604.614,216
442.854,217
506.806,218
748.676,219
501.296,220
648.828,221
603.836,222
384.072,223
579.683,224
605.392,225
460.266,226
846.275,227
476.857,228
346.573,229
630.243,230
762.387,231
689.707,232
834.255,233
381.682,234
591.379,235
480.803,236
792.749,237
536.657,238
500.509,239
402.377,240
878.455,241
754.773,242
494.995,243
775.309,244
741.047,245
385.665,246
665.053,247
969.462,248
666.596,249
380.089,250
325.778,251
660.421,252
387.258,253
644.96,254
600.724,255
517.815,256
688.938,257
573.438,258
321.775,259
898.567,260
711.209,261
475.278,262
644.186,263
562.499,264
726.527,265
963.592,266
692.014,267
757.82,268
668.139,269
537.442,270
738.757,271
367.333,272
348.971,273
539.794,274
335.38,275
561.717,276
759.342,277
555.459,278
836.511,279
681.242,280
333.78,281
332.98,282
319.372,283
671.224,284
508.38,285
976.058,286
623.261,287
795.777,288
652.694,289
487.113,290
822.21,291
511.526,292
365.737,293
691.245,294
481.592,295
647.281,296
601.502,297
399.196,298
379.292,299
690.476,300
396.014,301
391.239,302
622.485,303
643.412,304
868.746,305
350.568,306
882.931,307
524.101,308
426.206,309
876.962,310
502.871,311
506.019,312
629.467,313
676.62,314
407.147,315
476.068,316
364.141,317
399.991,318
841.019,319
557.806,320
488.69,321
361.747,322
773.03,323
708.909,324
809.386,325
415.093,326
544.496,327
311.36,328
679.701,329
581.244,330
348.172,331
703.537,332
530.381,333
879.201,334
631.018,335
975.326,336
715.042,337
750.201,338
564.844,339
502.084,340
976.79,341
329.78,342
977.523,343
705.073,344
808.631,345
343.376,346
358.554,347
819.949,348
819.195,349
708.142,350
669.682,351
815.424,352
533.52,353
318.571,354
376.901,355
607.725,356
832.751,357
541.362,358
531.951,359
897.823,360
603.058,361
725.762,362
428.586,363
721.17,364
499.722,365
696.626,366
421.445,367
791.235,368
953.301,369
772.271,370
787.446,371
788.204,372
721.935,373
740.284,374
485.536,375
784.414,376
634.893,377
665.825,378
671.995,379
439.685,380
661.193,381
465.009,382
831.246,383
551.545,384
313.764,385
557.024,386
304.947,387
547.63,388
900.053,389
848.526,390
734.173,391
396.809,392
680.472,393
528.027,394
507.593,395
341.778,396
737.229,397
825.977,398
894.848,399
606.17,400
571.877,401
611.612,402
531.166,403
719.638,404
662.737,405
429.379,406
610.058,407
524.886,408
308.956,409
618.604,410
812.406,411
734.937,412
731.116,413
672.766,414
570.314,415
763.148,416
518.601,417
628.692,418
324.177,419
972.395,420
337.78,421
781.38,422
491.055,423
378.495,424
906.739,425
411.121,426
373.712,427
658.876,428
543.713,429
514.671,430
405.557,431
958.449,432
994.334,433
608.503,434
771.511,435
785.93,436
964.326,437
368.13,438
724.997,439
637.992,440
434.93,441
728.822,442
718.107,443
764.669,444
744.1,445
981.182,446
415.887,447
376.104,448
766.19,449
782.897,450
412.71,451
486.325,452
758.581,453
609.28,454
929.703,455
560.935,456
340.978,457
363.343,458
469.75,459
838.014,460
375.307,461
965.06,462
763.908,463
440.478,464
783.656,465
602.28,466
624.037,467
899.31,468
990.684,469
540.578,470
991.414,471
625.589,472
401.582,473
332.18,474
710.442,475
659.649,476
728.057,477
377.698,478
386.461,479
986.301,480
445.23,481
467.38,482
801.829,483
788.962,484
470.54,485
639.541,486
612.389,487
535.089,488
362.545,489
410.326,490
542.929,491
978.987,492
731.88,493
347.373,494
