Feature,Rank
588.262,1
512.312,1
737.993,1
719.638,1
489.479,1
738.757,1
718.873,1
745.626,1
705.073,1
598.389,1
740.284,2
589.041,3
442.854,4
702.77,5
589.821,6
501.296,7
720.404,8
739.52,9
510.739,10
744.863,11
779.863,12
502.871,13
558.589,14
746.388,15
737.229,16
718.107,17
586.703,18
741.047,19
587.482,20
644.186,21
503.658,22
679.701,23
590.6,24
779.104,25
914.158,26
705.84,27
700.466,28
502.084,29
599.167,30
781.38,31
725.762,32
471.33,33
444.438,34
727.292,35
488.69,36
542.145,37
368.13,38
678.931,39
433.344,40
663.509,41
448.398,42
760.865,43
348.971,44
597.61,45
897.823,46
724.232,47
706.607,48
844.023,49
744.1,50
703.537,51
928.224,52
645.734,53
392.035,54
754.012,55
710.442,56
596.831,57
792.749,58
373.712,59
903.769,60
993.604,61
752.488,62
500.509,63
623.261,64
459.475,65
655.013,66
754.773,67
923.046,68
707.374,69
702.002,70
593.716,71
511.526,72
434.93,73
504.445,74
653.467,75
370.523,76
432.551,77
540.578,78
954.037,79
559.371,80
791.235,81
599.945,82
760.104,83
398.4,84
441.27,85
351.367,86
731.116,87
462.638,88
766.19,89
709.676,90
757.82,91
981.182,92
880.693,93
643.412,94
656.559,95
445.23,96
686.63,97
761.626,98
697.394,99
344.176,100
698.93,101
717.341,102
312.162,103
967.261,104
879.201,105
409.531,106
646.508,107
780.622,108
497.359,109
585.923,110
782.897,111
918.604,112
434.137,113
789.72,114
499.722,115
685.86,116
698.162,117
498.934,118
319.372,119
793.506,120
678.161,121
935.613,122
361.747,123
865.755,124
566.408,125
387.258,126
912.675,127
791.992,128
582.024,129
size,130
650.375,131
721.17,132
567.971,133
625.589,134
365.737,135
750.201,136
453.938,137
651.148,138
759.342,139
976.058,140
565.626,141
648.055,142
995.793,143
306.551,144
447.606,145
731.88,146
362.545,147
443.646,148
742.574,149
913.416,150
509.953,151
798.048,152
883.676,153
711.209,154
649.602,155
317.77,156
655.786,157
743.337,158
685.091,159
664.281,160
747.151,161
782.139,162
934.874,163
917.863,164
506.019,165
517.03,166
849.276,167
887.403,168
394.422,169
541.362,170
708.142,171
748.676,172
505.232,173
764.669,174
701.234,175
989.224,176
889.637,177
783.656,178
870.988,179
970.929,180
959.919,181
577.342,182
513.885,183
332.18,184
784.414,185
316.168,186
455.52,187
866.503,188
747.914,189
911.191,190
388.85,191
642.638,192
449.189,193
442.062,194
492.632,195
810.141,196
494.208,197
302.541,198
903.026,199
301.739,200
891.871,201
654.24,202
665.053,203
715.042,204
898.567,205
323.376,206
692.783,207
615.497,208
667.368,209
888.893,210
325.778,211
804.097,212
797.291,213
322.575,214
726.527,215
775.309,216
594.495,217
730.351,218
490.267,219
885.167,220
582.804,221
666.596,222
817.687,223
680.472,224
507.593,225
640.316,226
966.528,227
870.24,228
687.399,229
617.827,230
728.822,231
999.439,232
506.806,233
578.122,234
644.96,235
332.98,236
882.185,237
762.387,238
487.113,239
758.581,240
399.196,241
753.25,242
356.958,243
602.28,244
567.189,245
542.929,246
337.78,247
749.439,248
470.54,249
736.465,250
651.921,251
605.392,252
383.276,253
822.21,254
312.963,255
321.775,256
446.814,257
399.991,258
683.551,259
591.379,260
715.808,261
595.274,262
699.698,263
981.914,264
948.885,265
596.053,266
716.574,267
517.815,268
668.139,269
384.869,270
692.014,271
613.943,272
358.554,273
975.326,274
333.78,275
508.38,276
751.726,277
350.568,278
389.646,279
958.449,280
485.536,281
991.414,282
796.534,283
799.561,284
876.962,285
830.494,286
641.864,287
388.054,288
985.57,289
393.626,290
347.373,291
330.58,292
372.118,293
657.331,294
723.466,295
396.809,296
769.231,297
769.991,298
891.127,299
576.561,300
953.301,301
936.351,302
308.154,303
904.511,304
867.25,305
423.032,306
844.774,307
614.72,308
472.119,309
945.939,310
364.939,311
638.767,312
905.997,313
313.764,314
352.166,315
794.264,316
487.902,317
346.573,318
876.216,319
407.147,320
788.962,321
592.158,322
509.166,323
879.947,324
948.149,325
516.244,326
826.73,327
364.141,328
888.148,329
822.964,330
732.645,331
624.037,332
734.173,333
367.333,334
776.827,335
945.202,336
721.935,337
922.306,338
464.219,339
828.236,340
457.102,341
757.058,342
944.465,343
674.308,344
359.353,345
634.893,346
637.218,347
777.586,348
908.224,349
704.305,350
639.541,351
677.39,352
661.965,353
998.71,354
391.239,355
765.429,356
895.592,357
514.671,358
824.47,359
446.022,360
345.774,361
427.793,362
382.479,363
465.799,364
403.172,365
708.909,366
682.782,367
813.915,368
339.379,369
986.301,370
954.773,371
713.509,372
848.526,373
342.577,374
607.725,375
305.749,376
660.421,377
684.321,378
659.649,379
729.587,380
428.586,381
795.777,382
691.245,383
308.956,384
454.729,385
938.565,386
498.146,387
943.728,388
786.688,389
774.549,390
309.757,391
451.564,392
835.759,393
910.45,394
437.308,395
675.079,396
682.012,397
304.145,398
520.959,399
773.03,400
772.271,401
647.281,402
560.935,403
404.762,404
956.979,405
386.461,406
807.12,407
467.38,408
338.579,409
353.763,410
578.903,411
961.388,412
827.483,413
371.32,414
693.552,415
575,416
941.516,417
694.32,418
410.326,419
469.75,420
453.146,421
724.997,422
356.159,423
349.77,424
405.557,425
920.085,426
557.024,427
835.007,428
838.765,429
385.665,430
477.646,431
585.143,432
771.511,433
662.737,434
303.343,435
911.933,436
318.571,437
550.763,438
838.014,439
622.485,440
819.195,441
661.193,442
357.756,443
331.38,444
728.057,445
421.445,446
440.478,447
580.463,448
973.86,449
341.778,450
584.364,451
368.928,452
608.503,453
926.745,454
808.631,455
978.255,456
380.886,457
970.195,458
955.508,459
439.685,460
424.619,461
376.104,462
310.559,463
734.937,464
328.179,465
637.992,466
494.995,467
868.746,468
461.847,469
873.976,470
688.169,471
768.471,472
814.67,473
735.701,474
767.711,475
652.694,476
869.493,477
930.442,478
641.09,479
324.977,480
763.908,481
315.367,482
545.28,483
482.381,484
825.977,485
380.089,486
929.703,487
813.161,488
483.17,489
867.998,490
402.377,491
571.096,492
886.658,493
921.566,494
484.748,495
300.937,496
672.766,497
472.909,498
626.365,499
379.292,500
714.276,501
722.701,502
882.931,503
374.51,504
755.535,505
823.717,506
316.969,507
896.336,508
917.122,509
326.578,510
992.874,511
976.79,512
336.98,513
431.759,514
348.172,515
909.708,516
491.055,517
828.988,518
676.62,519
778.345,520
320.974,521
478.436,522
859.019,523
569.533,524
688.938,525
962.857,526
770.751,527
668.911,528
763.148,529
987.763,530
977.523,531
816.933,532
413.504,533
564.844,534
946.675,535
340.179,536
933.397,537
852.276,538
606.947,539
427,540
907.481,541
378.495,542
376.901,543
696.626,544
971.662,545
915.64,546
648.828,547
675.849,548
820.703,549
568.752,550
965.794,551
658.876,552
636.443,553
401.582,554
972.395,555
669.682,556
635.668,557
609.28,558
314.566,559
324.177,560
787.446,561
902.283,562
984.839,563
436.515,564
581.244,565
846.275,566
841.771,567
881.439,568
833.503,569
776.068,570
562.499,571
785.93,572
937.089,573
381.682,574
395.218,575
340.978,576
795.021,577
841.019,578
952.566,579
603.058,580
850.776,581
741.81,582
865.007,583
989.954,584
600.724,585
665.825,586
681.242,587
377.698,588
536.657,589
384.072,590
831.998,591
604.614,592
532.735,593
798.804,594
360.949,595
928.964,596
479.225,597
354.562,598
905.254,599
872.482,600
997.252,601
334.58,602
329.78,603
624.813,604
483.959,605
711.976,606
415.093,607
974.593,608
914.899,609
825.224,610
756.297,611
803.341,612
480.803,613
476.068,614
311.36,615
458.684,616
819.949,617
804.853,618
950.358,619
858.27,620
900.797,621
423.826,622
463.428,623
613.166,624
366.535,625
533.52,626
560.153,627
425.413,628
832.751,629
857.521,630
982.645,631
408.737,632
460.266,633
480.014,634
805.609,635
493.42,636
800.317,637
837.262,638
606.17,639
549.98,640
901.54,641
801.073,642
546.063,643
515.457,644
890.382,645
564.063,646
548.413,647
603.836,648
812.406,649
468.17,650
617.051,651
843.272,652
670.453,653
418.269,654
551.545,655
983.377,656
671.995,657
628.692,658
539.01,659
369.725,660
390.442,661
538.226,662
965.06,663
919.344,664
375.307,665
422.238,666
931.181,667
892.615,668
631.018,669
931.92,670
873.229,671
620.933,672
937.827,673
806.364,674
575.781,675
658.104,676
363.343,677
951.094,678
884.422,679
396.014,680
994.334,681
572.658,682
466.59,683
556.242,684
420.651,685
695.089,686
897.079,687
900.053,688
908.966,689
620.157,690
539.794,691
862.014,692
978.987,693
899.31,694
923.786,695
344.975,696
631.793,697
920.825,698
360.151,699
411.121,700
927.485,701
878.455,702
689.707,703
414.298,704
633.343,705
940.778,706
523.315,707
850.026,708
839.517,709
430.966,710
553.111,711
834.255,712
343.376,713
836.511,714
555.459,715
856.023,716
801.829,717
968.729,718
528.027,719
491.843,720
964.326,721
785.172,722
853.026,723
766.95,724
906.739,725
415.887,726
618.604,727
496.571,728
963.592,729
546.847,730
932.659,731
495.783,732
949.621,733
543.713,734
327.379,735
535.873,736
457.893,737
476.857,738
307.352,739
951.83,740
984.108,741
426.206,742
855.274,743
537.442,744
521.744,745
468.96,746
304.947,747
851.526,748
671.224,749
465.009,750
845.525,751
962.123,752
934.136,753
579.683,754
967.995,755
988.493,756
627.916,757
520.173,758
320.173,759
450.772,760
750.963,761
449.981,762
815.424,763
474.489,764
885.912,765
811.651,766
392.83,767
980.451,768
552.328,769
926.006,770
893.36,771
990.684,772
627.141,773
860.517,774
987.032,775
630.243,776
372.915,777
456.311,778
925.266,779
400.786,780
942.253,781
430.172,782
547.63,783
438.1,784
416.681,785
435.723,786
524.886,787
816.179,788
403.967,789
417.475,790
1000.168,791
528.812,792
557.806,793
519.387,794
475.278,795
788.204,796
956.244,797
486.325,798
531.951,799
621.709,800
601.502,801
859.768,802
574.219,803
535.089,804
874.723,805
810.896,806
969.462,807
563.281,808
611.612,809
407.942,810
979.719,811
894.104,812
829.741,813
544.496,814
355.361,815
790.477,816
553.894,817
712.743,818
807.875,819
438.893,820
518.601,821
854.525,822
995.063,823
842.522,824
524.101,825
616.274,826
452.355,827
942.99,828
996.522,829
997.981,830
411.915,831
831.246,832
818.441,833
571.877,834
875.469,835
473.699,836
773.79,837
960.654,838
862.762,839
529.596,840
939.303,841
419.063,842
894.848,843
461.056,844
561.717,845
947.412,846
531.166,847
573.438,848
821.457,849
959.184,850
690.476,851
612.389,852
549.196,853
592.937,854
513.099,855
840.268,856
534.304,857
352.965,858
632.568,859
570.314,860
619.38,861
554.676,862
530.381,863
877.709,864
863.51,865
957.714,866
916.381,867
871.735,868
336.18,869
992.144,870
629.467,871
853.775,872
847.026,873
397.605,874
527.241,875
412.71,876
673.537,877
695.857,878
861.265,879
419.857,880
525.671,881
809.386,882
864.259,883
610.835,884
335.38,885
847.776,886
924.526,887
973.128,888
406.352,889
802.585,890
634.118,891
526.456,892
610.058,893
429.379,894
481.592,895
733.409,896
856.772,897
940.041,898
328.98,899
583.584,900
522.53,901
