Feature,Rank
553.894,1
760.865,1
656.559,1
577.342,1
492.632,1
471.33,1
588.262,1
586.703,1
821.457,1
324.977,1
493.42,2
684.321,3
497.359,4
594.495,5
396.014,6
757.058,7
575,8
352.965,9
695.089,10
480.014,11
554.676,12
817.687,13
811.651,14
597.61,15
482.381,16
655.786,17
761.626,18
371.32,19
556.242,20
575.781,21
879.947,22
697.394,23
754.012,24
392.035,25
649.602,26
520.959,27
312.162,28
585.923,29
822.21,30
607.725,31
483.17,32
403.172,33
819.195,34
682.012,35
563.281,36
478.436,37
743.337,38
524.886,39
650.375,40
489.479,41
354.562,42
589.041,43
370.523,44
847.026,45
388.85,46
753.25,47
393.626,48
807.12,49
485.536,50
555.459,51
823.717,52
384.869,53
472.119,54
517.815,55
512.312,56
369.725,57
770.751,58
596.831,59
359.353,60
576.561,61
756.297,62
596.053,63
655.013,64
407.942,65
818.441,66
685.86,67
size,68
400.786,69
698.162,70
509.953,71
479.225,72
654.24,73
557.024,74
585.143,75
542.145,76
564.063,77
472.909,78
506.806,79
825.224,80
606.947,81
513.099,82
682.782,83
349.77,84
779.863,85
645.734,86
742.574,87
762.387,88
317.77,89
346.573,90
822.964,91
351.367,92
391.239,93
613.943,94
880.693,95
698.93,96
578.903,97
693.552,98
806.364,99
415.093,100
444.438,101
695.857,102
532.735,103
593.716,104
622.485,105
535.873,106
330.58,107
490.267,108
364.939,109
562.499,110
309.757,111
769.991,112
587.482,113
367.333,114
552.328,115
595.274,116
322.575,117
678.161,118
646.508,119
838.765,120
567.971,121
305.749,122
504.445,123
547.63,124
448.398,125
392.83,126
601.502,127
502.084,128
320.974,129
381.682,130
553.111,131
380.089,132
578.122,133
760.104,134
987.032,135
496.571,136
691.245,137
746.388,138
574.219,139
878.455,140
807.875,141
668.139,142
372.118,143
395.218,144
352.166,145
590.6,146
524.101,147
364.141,148
751.726,149
314.566,150
694.32,151
661.193,152
357.756,153
388.054,154
521.744,155
442.062,156
356.159,157
879.201,158
408.737,159
815.424,160
419.063,161
592.937,162
599.167,163
657.331,164
494.208,165
337.78,166
651.148,167
540.578,168
747.151,169
566.408,170
804.097,171
605.392,172
785.93,173
377.698,174
323.376,175
664.281,176
508.38,177
484.748,178
557.806,179
791.235,180
483.959,181
340.179,182
445.23,183
911.191,184
402.377,185
567.189,186
362.545,187
757.82,188
660.421,189
579.683,190
776.068,191
569.533,192
387.258,193
686.63,194
477.646,195
927.485,196
501.296,197
460.266,198
995.793,199
752.488,200
498.934,201
643.412,202
699.698,203
536.657,204
353.763,205
747.914,206
494.995,207
360.151,208
325.778,209
302.541,210
708.909,211
517.03,212
397.605,213
